Id,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,sustain_app__ConsumptionReport__c,sustain_app__EnergyConsumption__c
a026g000008LxXKAA0,,CFR-000000000,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,a036g00000Fxbk7AAB,a096g000002asgDAAQ
a026g000008LxXLAA0,,CFR-000000001,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,a036g00000Fxbk7AAB,a096g000002asgAAAQ
a026g000008LxXMAA0,,CFR-000000002,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,a036g00000Fxbk7AAB,a096g000002asgFAAQ
a026g000008LxXNAA0,,CFR-000000003,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,a036g00000Fxbk7AAB,a096g000002asgCAAQ
a026g000008LxXOAA0,,CFR-000000004,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,a036g00000Fxbk7AAB,a096g000002asgGAAQ
a026g000008LxXPAA0,,CFR-000000005,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,a036g00000Fxbk7AAB,a096g000002asg8AAA
a026g000008LxXQAA0,,CFR-000000006,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,a036g00000Fxbk7AAB,a096g000002asg9AAA
a026g000008LxXRAA0,,CFR-000000007,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,a036g00000Fxbk7AAB,a096g000002asgEAAQ
a026g000008LxXSAA0,,CFR-000000008,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,a036g00000Fxbk7AAB,a096g000002asgHAAQ
a026g000008LxXTAA0,,CFR-000000009,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,a036g00000Fxbk7AAB,a096g000002asgBAAQ
a026g000008LxXUAA0,,CFR-000000010,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,a036g00000Fxbk7AAB,a096g000002asg6AAA
a026g000008LxXVAA0,,CFR-000000011,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,a036g00000Fxbk7AAB,a096g000002asg7AAA
a026g000008LxXWAA0,,CFR-000000012,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,a036g00000Fxbk8AAB,a096g000002asgPAAQ
a026g000008LxXXAA0,,CFR-000000013,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,a036g00000Fxbk8AAB,a096g000002asgMAAQ
a026g000008LxXYAA0,,CFR-000000014,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,a036g00000Fxbk8AAB,a096g000002asgRAAQ
a026g000008LxXZAA0,,CFR-000000015,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,a036g00000Fxbk8AAB,a096g000002asgOAAQ
a026g000008LxXaAAK,,CFR-000000016,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,a036g00000Fxbk8AAB,a096g000002asgSAAQ
a026g000008LxXbAAK,,CFR-000000017,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,a036g00000Fxbk8AAB,a096g000002asgKAAQ
a026g000008LxXcAAK,,CFR-000000018,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,a036g00000Fxbk8AAB,a096g000002asgLAAQ
a026g000008LxXdAAK,,CFR-000000019,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,a036g00000Fxbk8AAB,a096g000002asgQAAQ
a026g000008LxXeAAK,,CFR-000000020,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,a036g00000Fxbk8AAB,a096g000002asgTAAQ
a026g000008LxXfAAK,,CFR-000000021,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,a036g00000Fxbk8AAB,a096g000002asgNAAQ
a026g000008LxXgAAK,,CFR-000000022,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,a036g00000Fxbk8AAB,a096g000002asgIAAQ
a026g000008LxXhAAK,,CFR-000000023,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,a036g00000Fxbk8AAB,a096g000002asgJAAQ
a026g000008LxXiAAK,,CFR-000000024,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,a036g00000Fxbk9AAB,a096g000002asgbAAA
a026g000008LxXjAAK,,CFR-000000025,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,a036g00000Fxbk9AAB,a096g000002asgYAAQ
a026g000008LxXkAAK,,CFR-000000026,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,a036g00000Fxbk9AAB,a096g000002asgdAAA
a026g000008LxXlAAK,,CFR-000000027,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,a036g00000Fxbk9AAB,a096g000002asgaAAA
a026g000008LxXmAAK,,CFR-000000028,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,a036g00000Fxbk9AAB,a096g000002asgeAAA
a026g000008LxXnAAK,,CFR-000000029,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,a036g00000Fxbk9AAB,a096g000002asgWAAQ
a026g000008LxXoAAK,,CFR-000000030,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,a036g00000Fxbk9AAB,a096g000002asgXAAQ
a026g000008LxXpAAK,,CFR-000000031,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,a036g00000Fxbk9AAB,a096g000002asgcAAA
a026g000008LxXqAAK,,CFR-000000032,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,a036g00000Fxbk9AAB,a096g000002asgfAAA
a026g000008LxXrAAK,,CFR-000000033,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,a036g00000Fxbk9AAB,a096g000002asgZAAQ
a026g000008LxXsAAK,,CFR-000000034,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,a036g00000Fxbk9AAB,a096g000002asgUAAQ
a026g000008LxXtAAK,,CFR-000000035,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,a036g00000Fxbk9AAB,a096g000002asgVAAQ
a026g000008LxXuAAK,,CFR-000000036,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,a036g00000Fxbk9AAB,a096g000002asy1AAA
a026g000008LxXvAAK,,CFR-000000037,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,a036g00000Fxbk9AAB,a096g000002asy2AAA
a026g000008LxXwAAK,,CFR-000000038,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,a036g00000Fxbk9AAB,a096g000002asy3AAA
a026g000008LxXxAAK,,CFR-000000039,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,a036g00000Fxbk9AAB,a096g000002asy4AAA
a026g000008LxXyAAK,,CFR-000000040,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,a036g00000Fxbk9AAB,a096g000002asy5AAA
a026g000008LxXzAAK,,CFR-000000041,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,0056g000004tw2CAAQ,2020-04-05T22:28:42.000+0000,a036g00000Fxbk9AAB,a096g000002asy6AAA
